Tipo,X,Y
Ejecutada,-0.24438968827493548,-0.6994299317583718
Ejecutada,-0.25208834034930266,-0.7021796986099321
Ejecutada,-0.2598441750908301,-0.7049607201257996
Ejecutada,-0.2675359957898141,-0.707729538616561
Ejecutada,-0.27522093796693703,-0.7105173917752438
Ejecutada,-0.28290588014405993,-0.7133052449339266
Ejecutada,-0.2905908223211827,-0.7160930980926092
Ejecutada,-0.2983327917064324,-0.7189124886734719
Ejecutada,-0.306010808257378,-0.7217193594121248
Ejecutada,-0.31374577376237833,-0.7245579086623674
Ejecutada,-0.3213598804313632,-0.7273521055805748
Ejecutada,-0.3290309242942653,-0.7301779766946799
Ejecutada,-0.33675883850808586,-0.7330356672156131
Ejecutada,-0.3444228626638167,-0.7358805213841905
Ejecutada,-0.35202304047570104,-0.7387123854367433
Ejecutada,-0.35974385603063125,-0.7415891997123526
Ejecutada,-0.35974385603063125,-0.7415891997123526
Ejecutada,-0.35974385603063125,-0.7415891997123526
Ejecutada,-0.35974385603063125,-0.7415891997123526
Ejecutada,-0.35968072684872954,-0.741601777601381
Ejecutada,-0.3597411358194385,-0.741579545796284
Ejecutada,-0.3597411358194385,-0.741579545796284
Ejecutada,-0.3597411358194385,-0.741579545796284
Ejecutada,-0.3597411358194385,-0.741579545796284
Ejecutada,-0.36477648286639414,-0.735139379523833
Ejecutada,-0.36477648286639414,-0.735139379523833
Ejecutada,-0.3647764828663941,-0.7351393795238331
Ejecutada,-0.3675664886911911,-0.7273867721748698
Ejecutada,-0.37035649451598807,-0.7196341648259065
Ejecutada,-0.373134223155009,-0.7119455573376768
Ejecutada,-0.3759434140763581,-0.7041998811517645
Ejecutada,-0.37872114271537904,-0.6965112736635348
Ejecutada,-0.38151114854017604,-0.6887586663145715
Ejecutada,-0.384288877179197,-0.6810700588263418
Ejecutada,-0.38709806810054614,-0.6733243826404295
Ejecutada,-0.38990725902189527,-0.6655787064545172
Ejecutada,-0.39268498766091625,-0.6578900989662875
Ejecutada,-0.39547499348571324,-0.6501374916173241
Ejecutada,-0.39825272212473417,-0.6424488841290945
Ejecutada,-0.4010619130460833,-0.6347032079431822
Ejecutada,-0.4038396416851043,-0.6270146004549525
Ejecutada,-0.40662964750990127,-0.6192619931059892
Ejecutada,-0.40941965333469826,-0.6115093857570258
Ejecutada,-0.4121973819737192,-0.6038207782687962
Ejecutada,-0.4150065728950683,-0.596075102082884
Ejecutada,-0.4177843015340893,-0.5883864945946542
Ejecutada,-0.4205743073588863,-0.5806338872456909
Ejecutada,-0.4233520359979072,-0.5729452797574612
Ejecutada,-0.42616122691925634,-0.565199603571549
Ejecutada,-0.4289704178406055,-0.5574539273856366
Ejecutada,-0.4317481464796265,-0.5497653198974068
Ejecutada,-0.4345381523044235,-0.5420127125484435
Ejecutada,-0.4373158809434444,-0.5343241050602139
Ejecutada,-0.44012507186479355,-0.5265784288743016
Ejecutada,-0.4401250718647936,-0.5265784288743015
Ejecutada,-0.4401250718647936,-0.5265784288743016
Ejecutada,-0.4401250718647936,-0.5265784288743016
Ejecutada,-0.44012507186479355,-0.5265784288743015
Ejecutada,-0.4401250718647936,-0.5265784288743016
Ejecutada,-0.4401250718647936,-0.5265784288743016
Ejecutada,-0.4401250718647936,-0.5265784288743016
Ejecutada,-0.4401250718647936,-0.5265784288743016
Ejecutada,-0.4401250718647935,-0.5265784288743015
Ejecutada,-0.4401839859101348,-0.5266043640273095
Ejecutada,-0.4323431327237006,-0.5238706937432981
Ejecutada,-0.432405400993725,-0.5238870081371935
Ejecutada,-0.432405400993725,-0.5238870081371935
Ejecutada,-0.424167657024333,-0.5237238287746961
Ejecutada,-0.4159940762729116,-0.5235720420819532
Ejecutada,-0.40775595355582556,-0.5234292579517698
Ejecutada,-0.39951783083873965,-0.5232864738215863
Ejecutada,-0.3913442500873184,-0.5231346871288434
Ejecutada,-0.38310650611792624,-0.522971507766346
Ejecutada,-0.3749329253665048,-0.5228197210736031
Ejecutada,-0.3666948026494188,-0.5226769369434197
Ejecutada,-0.3585212218979975,-0.5225251502506768
Ejecutada,-0.35028347792860554,-0.5223619708881795
Ejecutada,-0.3421098971771841,-0.5222101841954365
Ejecutada,-0.3338717744600981,-0.5220674000652531
Ejecutada,-0.3256336517430122,-0.5219246159350697
Ejecutada,-0.3174600709915909,-0.5217728292423267
Ejecutada,-0.30922232702219876,-0.5216096498798294
Ejecutada,-0.3010487462707773,-0.5214578631870864
Ejecutada,-0.2928106235536913,-0.521315079056903
Ejecutada,-0.28457250083660557,-0.5211722949267196
Ejecutada,-0.27639892008518413,-0.5210205082339766
Ejecutada,-0.268161176115792,-0.5208573288714793
Ejecutada,-0.25998759536437055,-0.5207055421787363
Ejecutada,-0.2517494726472848,-0.5205627580485529
Ejecutada,-0.24357589189586337,-0.5204109713558099
Ejecutada,-0.23533814792647126,-0.5202477919933126
Ejecutada,-0.22716456717504982,-0.5200960053005697
